Stage,Check,Verdict,Note
3. Result calculations,"Independent rebuild reconciles to Table 7 on cost, HCTZ arm",pass,"74515.72 against 74588.50, within the range that four-decimal rounding of the transition matrix allows"
3. Result calculations,Dominance reported correctly,not pass,Amlodipine is both cheaper and more effective; a negative ICER of -64550.23 is reported where 'dominated' is the correct entry
3. Result calculations,"Discount rate reported, and applied consistently to costs and outcomes",not pass,No base-case rate is stated - 5% appears only as a sensitivity re-run and had to be fitted - and nothing says whether costs and QALYs were discounted alike
3. Result calculations,Cost accrual rule reported,not pass,Recovered by back-solving; the intuitive alternative undershoots the published costs by 28-31%
3. Result calculations,"Independent rebuild reconciles to Table 7 on cost, amlodipine arm",not pass,"66452.27 against 66196.97 on Table 2's drug price, further apart than rounding can account for; the gap closes to 0.07% on the price implied by Figure 4's printed range"
4. Uncertainty analysis,One-way sensitivity ranges reported,pass,Stated in the Methods and printed parameter by parameter on Figure 4
4. Uncertainty analysis,Tornado diagram reproducible from reported numbers,pass,"Figure 4 prints each parameter's low and high value, so the analysis can be re-run; doing so reproduces its rank order on all sixteen parameters"
4. Uncertainty analysis,PSA distribution parameters reported,not pass,"Families are given - normal for costs, beta for probabilities and rates - but no standard deviations or shape parameters"
4. Uncertainty analysis,Distribution families appropriate to the parameters they cover,not pass,Beta is declared over 'all probability and rate values'; rates are not confined to the unit interval
4. Uncertainty analysis,Sensitivity analysis reaches the assumptions the result is actually sensitive to,not pass,The stated ranges perturb input values; the annualisation and the cost-accrual rule are structural and lie outside them
4. Uncertainty analysis,Every parameter in the model appears among the reported inputs,not pass,"Figure 4 varies a utility of death and a cost of death; neither appears in Table 2 or Table 3, where both are zero"
4. Uncertainty analysis,PSA reproducible,cant_verify,Follows from the missing distribution parameters
5. Overall validation,The same check after correcting the annualisation,pass,4.1% and 4.4% against 4.1% and 4.5% in: the round trip closes
5. Overall validation,Robustness of the cost result to the drug price,pass,"HCTZ would have to fall 23.6% to 4527.89 CNY - below the amlodipine price - before the arms cost the same, so the ordering is not load-bearing"
5. Overall validation,Robustness of the conclusion to the annualisation,pass,"Correcting it halves the incremental QALY, from -0.130 to -0.062, and cuts incremental cost from 8392 to 5611 CNY; amlodipine remains both cheaper and more effective"
5. Overall validation,Round trip: the trial mortality used to build the model comes back out of it,not pass,"At cycle 3, roughly the trial's own length, the model gives 11.2% and 12.1% cumulative death where 4.1% and 4.5% went in"
5. Overall validation,Face validity: utility of the event-free state,not pass,"0.98 places the cohort close to full health, while the cohort is defined by 60% diabetes, 23% prior MI and a median age of 68"
5. Overall validation,Any model validation is reported,not pass,"No face validity exercise, no internal verification, no external validation against the trial, and no cross-model comparison is reported anywhere"
5. Overall validation,Time horizon justified against the decision problem,not pass,"Ten years is justified by the cohort's age alone; ISPOR-SMDM asks for a lifetime horizon where the intervention affects mortality, and no comparison against a lifetime horizon is reported"
5. Overall validation,Face validity: relative drug prices,cant_verify,The ordering that makes HCTZ the dearer generic cannot be checked against the cited website
5. Overall validation,Event-state costs are defined on a basis that matches how they are applied,cant_verify,"Half of each total is an annual event charge, applied on average 3.9 times per MI; if the source figures are first-year costs the cost gap falls to a third, but the source could not be obtained"
5. Overall validation,Cross-model validation against other hypertension Markov models,N/A,Out of scope for this exercise; declared rather than attempted
